Timestamp,User_Role,Organization_Type,Midnight_Preprod_Address,Rating_1_to_5,Key_Feature_Used,Feedback_Comment,Requested_Enhancement,Product_Iteration_Commit
2026-03-03 12:15:19,Angel Investor,Silicon Valley Syndicate,midnight1addr_angel_inv_22,4,Accredited Investor Tier ($100k+),Simple, elegant UI. The glassmorphism and neon aesthetics make crypto compliance feel high-tech.,Add animated particle background effect toggle.,b9906a8
2026-03-03 13:30:44,Treasury Manager,DAO Protocol,midnight1addr_dao_treasury_23,5,Institutional Whale Tier ($25M+),Perfect for verifying multi-million treasury reserves without public balance disclosure.,Support multi-signature proof delegation.,0267026
2026-03-03 14:50:05,Blockchain Researcher,University Cryptography Lab,midnight1addr_crypto_lab_24,5,Compact Circuit Visualizer,The Compact contract logic is mathematically rigorous and clean.,Publish formal ZK soundness proof whitepaper.,8df3399
2026-03-03 16:10:33,Cross-Chain Trader,Cardano/Ethereum Trader,midnight1addr_cross_chain_25,5,DeFi Vault Gating Demo,Smooth connection between Midnight Preprod and cross-chain liquidity gates.,Explore Cardano native asset attestation bridges.,6ad8721
2026-03-03 17:35:12,Risk Officer,Digital Asset Bank,midnight1addr_risk_officer_26,5,Dual-State Privacy Inspector,Nullifiers prevent identity clustering while allowing full AML verification.,Provide daily compliance verification summary exports.,0267026
2026-03-03 18:55:40,Startup Founder,AI & Web3 Startup,midnight1addr_startup_ceo_27,5,Accredited Investor Tier ($100k+),Raised our community seed round using MidnightGate for investor whitelist gating.,Add bulk investor CSV invitation manager.,8df3399
2026-03-03 20:15:02,Smart Contract Engineer,Midnight Protocol,midnight1addr_sc_eng_28,5,Contract Explorer,Direct contract interaction and managed bindings make testing on Preprod very easy.,Add automated gas estimation tool.,0267026
2026-03-04 09:05:18,Institutional Broker,OTC Desk,midnight1addr_otc_broker_29,5,Institutional Whale Tier ($25M+),OTC block trades can now verify counterparty solvency in zero knowledge.,Add custom SLA verification tier.,b9906a8
2026-03-04 10:20:45,DeFi Strategist,Yield Aggregator,midnight1addr_yield_strat_30,4,DeFi Vault Gating Demo,Boosted vault APR works seamlessly once credential is confirmed.,Add live APY chart tracker inside vault card.,6ad8721
2026-03-04 11:45:30,Security Consultant,Cybersecurity Firm,midnight1addr_sec_consult_31,5,Anti-Replay Nullifier,No double-spending or replay vulnerabilities detected during our internal assessment.,Add bounty program for whitehat vulnerability reports.,8df3399
2026-03-04 13:00:15,RWA Asset Issuer,Real Estate Tokenizer,midnight1addr_rwa_issuer_32,5,Qualified Purchaser Tier ($5M+),Complies with Tier 2 Reg A+ and Reg D exemptions effortlessly.,Integrate automated property deed metadata verification.,0267026
2026-03-04 14:15:52,Private Fund Manager,Hedge Fund,midnight1addr_fund_mgr_33,5,Institutional Whale Tier ($25M+),Allows institutional capital to interact with DeFi without breaching fiduciary privacy duties.,Add team member permission role management.,8df3399
2026-03-04 15:30:29,Cardano DApp Dev,Ecosystem Builder,midnight1addr_cardano_dev_34,5,Verifier Portal,The Lace DApp connector integration was smooth and responsive.,Add TypeScript types for third-party connector hooks.,6ad8721
2026-03-04 16:45:10,Retail Investor,Crypto Enthusiast,midnight1addr_retail_inv_35,5,Accredited Investor Tier ($100k+),Super fast. Took less than 2 seconds to prove accredited status.,Add celebratory confetti animation on successful verification.,b9906a8
2026-03-04 18:00:33,Fintech Product Lead,Global Payment Gateway,midnight1addr_fintech_lead_36,5,Dual-State Privacy Inspector,Best implementation of zero-knowledge privacy for financial compliance we have tested.,Provide REST API documentation for enterprise relayers.,0267026
2026-03-04 19:15:44,Decentralized Identity Lead,W3C DID Working Group,midnight1addr_did_lead_37,5,Verifiable Credential Card,The soulbound credential format aligns perfectly with W3C Verifiable Credentials standards.,Add W3C DID export specification.,8df3399
2026-03-05 08:45:20,Venture Partner,European VC Fund,midnight1addr_eu_vc_38,4,Qualified Purchaser Tier ($5M+),High usability. Our LPs were able to complete verification on their first try.,Add French and German UI localization.,6ad8721
2026-03-05 10:00:11,Algorithmic Trader,Market Maker,midnight1addr_algo_trader_39,5,Institutional Whale Tier ($25M+),Sub-second verification latency is perfect for high-speed programmatic liquidity provision.,Add WebSocket event feed for instant confirmation updates.,0267026
2026-03-05 11:15:38,Legal Technologist,RegTech Consultancy,midnight1addr_legal_tech_40,5,Dual-State Privacy Inspector,Auditable proof logs without data exposure represent the future of regulatory compliance.,Provide standardized compliance audit exports.,8df3399
2026-03-05 12:30:55,DAO Governor,Lending DAO,midnight1addr_dao_gov_41,5,GateBuilder Tool,Created a custom $50,000 threshold tier for our community members in seconds.,Add governance voting integration for tier creation.,0267026
2026-03-05 13:45:12,Family Office Advisor,Multi-Family Office,midnight1addr_family_off_42,5,Qualified Purchaser Tier ($5M+),Our ultra-high-net-worth clients will never use DeFi without this level of privacy.,Provide custom white-label branding options for family offices.,6ad8721
2026-03-05 15:00:40,Web3 Accelerator Mentor,Rise In Mentor,midnight1addr_mentor_43,5,Contract Stats,Comprehensive documentation and test coverage. Outstanding execution on Midnight Compact.,Include benchmark comparison table with other ZK frameworks.,8df3399
2026-03-05 16:15:19,ZK Protocol Researcher,Zero Knowledge Lab,midnight1addr_zk_researcher_44,5,Circuit Visualizer,Circuit constraints are tight and proof generation overhead is remarkably minimal.,Publish circuit constraint size metrics in docs.,6ad8721
2026-03-05 17:30:02,Fund Operations Manager,Digital Asset Fund,midnight1addr_fund_ops_45,5,Institutional Whale Tier ($25M+),Saves dozens of hours in manual investor accreditation verifications every month.,Add automatic email report triggers for ops teams.,0267026
2026-03-05 18:45:27,Crypto Native Founder,Stealth Startup,midnight1addr_stealth_ceo_46,5,Accredited Investor Tier ($100k+),We are building on Midnight and will use MidnightGate as our primary access control gate.,Provide open-source starter template for MidnightGate integration.,6ad8721
2026-03-06 09:10:35,Institutional Custodian,Regulated Trust Company,midnight1addr_trust_co_47,4,Qualified Purchaser Tier ($5M+),Clean separation between identity attestations and asset holding accounts.,Add audit trail export for trust bank compliance.,8df3399
2026-03-06 10:25:48,DeFi Liquidity Provider,AMM Protocol,midnight1addr_lp_provider_48,5,DeFi Vault Gating Demo,Smooth access to exclusive high-yield LP pools once credential is confirmed.,Add multi-pool auto-stake button.,0267026
2026-03-06 11:40:12,Compliance Director,Global Exchange,midnight1addr_exchange_comp_49,5,Dual-State Privacy Inspector,Enables compliant tier-based trading limits without centralizing sensitive KYC documents.,Support institutional API keys for batch query verification.,0267026
2026-03-06 12:55:30,Ecosystem Contributor,Midnight Developer,midnight1addr_eco_contrib_50,5,Contract Explorer,One of the cleanest Compact smart contract architectures in the Rise In cohort.,Keep expanding the interactive visualizers.,6ad8721
2026-03-06 14:10:15,Private Credit Fund Analyst,Credit Fund,midnight1addr_credit_fund_51,5,Qualified Purchaser Tier ($5M+),Essential for private credit syndications on-chain.,Add automated interest distribution to verified wallets.,8df3399
2026-03-06 15:25:40,Lead Cryptographer,Midnight Ecosystem,midnight1addr_lead_crypto_52,5,Circuit Visualizer,Proof generation in Compact compiles directly to ultra-efficient ZK constraint systems.,Publish developer tutorial for writing custom Compact circuits.,6ad8721
